userId,score,timestamp,movieId,platform,score_avg
1,1.0,1425941529,as680,amazon,3.5
1,4.5,1425942435,ns2186,netflix,3.6
1,5.0,1425941523,hs2381,hulu,3.6
1,5.0,1425941546,ns3663,netflix,3.5
1,5.0,1425941556,as9500,amazon,3.5
1,4.0,1425942148,as3004,amazon,3.4
1,4.5,1425941300,ns8282,netflix,3.5
1,5.0,1425941593,as6112,amazon,3.6
1,4.0,1425941601,hs327,hulu,3.5
1,4.0,1425942228,ns1358,netflix,3.5
1,5.0,1425941434,ns7360,netflix,3.5
1,5.0,1425941397,ns3980,netflix,3.6
1,4.0,1425942005,ns128,netflix,3.5
1,3.5,1425941313,ns3830,netflix,3.5
1,4.0,1425942007,as5517,amazon,3.5
1,5.0,1425941502,as1577,amazon,3.6
1,5.0,1425941464,hs2056,hulu,3.5
1,5.0,1425942139,ns5413,netflix,3.5
1,5.0,1425942699,as6909,amazon,3.5
1,5.0,1425942133,as4340,amazon,3.6
1,2.5,1425942647,as8902,amazon,3.6
1,5.0,1425942618,hs871,hulu,3.5
1,5.0,1425941424,ns5624,netflix,3.5
1,5.0,1425941382,ns8584,netflix,3.5
1,0.5,1425942640,as7193,amazon,3.5
1,4.0,1425941667,ds853,disney,3.6
1,5.0,1425941336,ns1310,netflix,3.6
2,3.0,867039249,ns5228,netflix,3.5
2,3.0,867039168,ns5355,netflix,3.5
2,2.0,867039166,hs1581,hulu,3.5
2,3.0,867039325,ns4446,netflix,3.5
2,4.0,867039612,ns8778,netflix,3.5
2,4.0,867039325,ns2462,netflix,3.5
2,3.0,867039168,hs589,hulu,3.6
2,4.0,867039249,as8906,amazon,3.5
2,5.0,867041296,as2307,amazon,3.5
2,4.0,867041121,as2200,amazon,3.6
2,4.0,867039973,as2064,amazon,3.5
2,4.0,867039325,ns3954,netflix,3.5
2,4.0,867039167,ns3429,netflix,3.5
2,3.0,867039325,ns3522,netflix,3.5
2,3.0,867039165,as7276,amazon,3.5
2,1.0,867039249,hs1914,hulu,3.6
2,1.0,867039288,as9455,amazon,3.5
2,4.0,867039325,ds139,disney,3.6
2,4.0,867039820,ds319,disney,3.5
2,5.0,867039288,ns7879,netflix,3.6
2,3.0,867040824,as9099,amazon,3.5
2,2.0,867040735,ns5772,netflix,3.5
3,3.0,1048076925,ns4695,netflix,3.6
3,2.0,1048076945,as1246,amazon,3.5
3,4.0,1048076900,hs653,hulu,3.5
3,4.0,1048076945,ns8641,netflix,3.5
3,3.0,1048076995,hs1531,hulu,3.6
3,3.0,1048076961,as8113,amazon,3.5
3,3.0,1048076976,ns4429,netflix,3.5
3,3.0,1048077048,ns8253,netflix,3.5
3,3.0,1048076830,as6156,amazon,3.5
3,3.0,1048077030,as9380,amazon,3.6
4,4.0,1042668576,ns5217,netflix,3.5
4,4.0,1042667925,hs2554,hulu,3.5
4,4.0,1042674800,ns5600,netflix,3.5
4,5.0,1042667925,as1526,amazon,3.5
4,4.0,1042667956,ns3136,netflix,3.6
4,2.0,1042667865,hs679,hulu,3.5
4,5.0,1042667903,ds1137,disney,3.6
4,4.0,1042674861,hs454,hulu,3.5
